month,n_total,n_infl,share,hicp_headline,hicp_food,hicp_energy
2021-01,12860,41,0.318818040435459,0,-0.6,-5.7
2021-02,7077,43,0.607602091281617,0.7,-0.3,-1.8
2021-03,7185,39,0.542797494780793,1.6,-0.5,4.9
2021-04,7027,28,0.398463071011812,2.1,-0.2,12.1
2021-05,6502,20,0.307597662257767,2.4,-0.4,13.4
2021-06,6255,24,0.383693045563549,2.2,0,10.1
2021-07,6153,17,0.27628798959857,2.7,1.8,10
2021-08,6828,32,0.468658465143527,3.1,2.5,10.1
2021-09,6408,24,0.374531835205993,3.5,3,12.2
2021-10,7241,52,0.718132854578097,3.9,3.7,14.4
2021-11,8174,45,0.550526058233423,4.7,5.6,15.6
2021-12,8678,49,0.564646231850657,5.2,8.1,12.4
2022-01,7552,119,1.57574152542373,5.5,9.4,11.9
2022-02,6226,92,1.4776742691937,6.3,10.1,12.3
2022-03,7265,83,1.1424638678596,7.3,10.8,15.8
2022-04,8857,144,1.62583267472056,9.6,12.7,23.1
2022-05,7350,106,1.4421768707483,10.7,14.9,25.4
2022-06,6943,112,1.6131355321907,12.1,16.7,25.8
2022-07,5191,57,1.09805432479291,12.7,17.9,24.2
2022-08,6709,112,1.66939931435385,12.6,18.8,19.3
2022-09,6164,111,1.80077871512005,12.6,18.5,18.5
2022-10,7405,110,1.48548278190412,12.7,19.4,19
2022-11,6880,79,1.14825581395349,13,19.1,20.3
2022-12,7993,187,2.33954710371575,12.7,18.8,14.7
2023-01,7136,90,1.26121076233184,12.5,17.2,12.5
2023-02,6318,55,0.870528648306426,11.7,16.9,11
2023-03,7427,88,1.18486602935236,10.5,17.3,4.3
2023-04,8427,109,1.2934614928207,8.9,15.6,-2.3
2023-05,6550,59,0.900763358778626,8.3,15.2,-7
2023-06,7069,45,0.636582260574339,8.3,14.8,-7.2
2023-07,4970,24,0.482897384305835,8,12.9,-5.8
2023-08,6862,67,0.976391722529875,8.4,11.1,1.4
2023-09,6634,41,0.618028338860416,7.4,10.6,2.8
2023-10,6950,54,0.776978417266187,6.7,8.9,-0.7
2023-11,6758,49,0.725066587747854,5.5,7.9,-4.1
2023-12,8735,86,0.984544934172868,5.4,6.6,-0.5
2024-01,1911,25,1.30821559392988,4.8,6.5,-0.1
2024-06,8477,106,1.25044237348118,3.5,1.8,0.7
2024-07,436,1,0.229357798165138,3.3,1.8,0.7
