month,hicp_headline,hicp_food,hicp_energy
2021-01,0.0,-0.6,-5.7
2021-02,0.7,-0.3,-1.8
2021-03,1.6,-0.5,4.9
2021-04,2.1,-0.2,12.1
2021-05,2.4,-0.4,13.4
2021-06,2.2,0.0,10.1
2021-07,2.7,1.8,10.0
2021-08,3.1,2.5,10.1
2021-09,3.5,3.0,12.2
2021-10,3.9,3.7,14.4
2021-11,4.7,5.6,15.6
2021-12,5.2,8.1,12.4
2022-01,5.5,9.4,11.9
2022-02,6.3,10.1,12.3
2022-03,7.3,10.8,15.8
2022-04,9.6,12.7,23.1
2022-05,10.7,14.9,25.4
2022-06,12.1,16.7,25.8
2022-07,12.7,17.9,24.2
2022-08,12.6,18.8,19.3
2022-09,12.6,18.5,18.5
2022-10,12.7,19.4,19.0
2022-11,13.0,19.1,20.3
2022-12,12.7,18.8,14.7
2023-01,12.5,17.2,12.5
2023-02,11.7,16.9,11.0
2023-03,10.5,17.3,4.3
2023-04,8.9,15.6,-2.3
2023-05,8.3,15.2,-7.0
2023-06,8.3,14.8,-7.2
2023-07,8.0,12.9,-5.8
2023-08,8.4,11.1,1.4
2023-09,7.4,10.6,2.8
2023-10,6.7,8.9,-0.7
2023-11,5.5,7.9,-4.1
2023-12,5.4,6.6,-0.5
2024-01,4.8,6.5,-0.1
2024-02,4.8,5.6,1.1
2024-03,4.9,4.5,2.1
2024-04,4.7,4.3,2.1
2024-05,4.3,2.9,3.0
2024-06,3.5,1.8,0.7
2024-07,3.3,1.8,0.7
2024-08,3.0,2.3,-3.6
2024-09,3.1,3.5,-6.8
2024-10,3.6,5.1,-4.4
2024-11,4.0,5.1,0.2
2024-12,4.5,5.4,2.4
2025-01,5.0,5.5,5.1
2025-02,4.8,5.4,4.1
2025-03,4.3,5.1,2.2
2025-04,4.0,4.8,1.4
2025-05,4.3,6.1,1.4
2025-06,4.4,6.1,2.9
2025-07,4.5,7.1,2.6
2025-08,4.6,6.5,2.8
2025-09,4.6,5.7,4.7
2025-10,4.0,4.4,3.9
2025-11,4.3,4.1,5.0
2025-12,3.8,2.9,3.6
